TiVo	a	IRCODE TIVO
Power	b	
LiveTV	c	IRCODE LIVETV
TVInput	d	
Info	e	IRCODE INFO
Aspect	f	
Guide	g	IRCODE GUIDE
Select	h	IRCODE SELECT
Up	i	IRCODE UP
Down	j	IRCODE DOWN
Left	k	IRCODE LEFT
Right	l	IRCODE RIGHT
ThumbDown	m	IRCODE THUMBSDOWN
ThumbUp	n	IRCODE THUMBSUP
Mute	o	
VolumeUp	p	
VolumeDown	q	
ChannelUp	r	IRCODE CHANNELUP
ChannelDown	s	ICODE CHANNELDOWN
Record	t	IRCODE RECORD
Play	u	IRCODE PLAY
Pause	v	IRCODE PAUSE
Rewind	w	IRCODE REVERSE
FastForward	x	IRCODE FORWARD
Slow	y	IRCODE SLOW
Replay	z	IRCODE REPLAY
Skip	-	IRCODE ADVANCE
1	1	IRCODE NUM1
2	2	IRCODE NUM2
3	3	IRCODE NUM3
4	4	IRCODE NUM4
5	5	IRCODE NUM5
6	6	IRCODE NUM6
7	7	IRCODE NUM7
8	8	IRCODE NUM8
9	9	IRCODE NUM9
0	0	IRCODE NUM0
Clear	,	IRCODE CLEAR
Enter/Last	.	IRCODE ENTER
